bigbrother_1+2.mp3|小老鼠们，奶酪行动即将开始，机器鼠已集结完毕，目标：侦查奶酪。
bigbrother_3.mp3|敌方猫已到达现场
bigbrother_4.mp3|侦查结束，出动，夺回奶酪！
bigbrother_5.mp3|奶酪已搬起
bigbrother_6.mp3|奶酪已放置，快推入
bigbrother_7.mp3|已成功推入奶酪
bigbrother_8.mp3|墙体出现裂缝，快打洞逃走
bigbrother_9.mp3|队友已倒地
bigbrother_10.mp3|你已被打倒
bigbrother_11.mp3|队友被抓住
bigbrother_12.mp3|队友被绑上火箭
bigbrother_13.mp3|你已被绑上火箭
bigbrother_14.mp3|队友被救下
bigbrother_15.mp3|你已被救下
bigbrother_16.mp3|队友被扶起
bigbrother_17.mp3|你已被扶起
bigbrother_18.mp3|啊，队友被放飞
bigbrother_19.mp3|你已被淘汰
bigbrother_20.mp3|敌方猫被打爆
bigbrother_21.mp3|时间不多，快打洞逃走
bigbrother_22.mp3|团结就是力量，我们赢了
bigbrother_23.mp3|不抛弃，不放弃，我们要努力变强
bigbrother_hole_appear.mp3|墙缝出现，快打洞！
bigbrother_mate_find_cheeze.mp3|队友已搬起奶酪
bigbrother_mate_push_cheeze.mp3|队友已推入奶酪
bigbrother_mate_set_cheeze.mp3|队友已放置奶酪
bigbrother_start.mp3|出洞，搬运奶酪
bigbrother_you_find_cheeze.mp3|你已搬起奶酪，快找洞
guide_bigbrother_01.mp3|我亲爱的表弟，我们来了！
guide_bigbrother_02.mp3|那只坏猫，大家快跟我来，我们给汤姆点颜色看看。
guide_bigbrother_03.mp3|亲爱的表弟别担心，这次我特地带来了四只机器鼠，机器鼠能帮助我们侦查奶酪。
guide_bigbrother_04.mp3|现在你走到控制台旁，点击它就能获得机器鼠的控制权。
guide_bigbrother_05.mp3|这是经验蛋糕，经验蛋糕能为你增加经验值，赶快将它捡起来吧。
guide_bigbrother_06.mp3|运气不错，你已侦查到一个大奶酪，机器鼠的任务已完成，你将视角切回来吧。
guide_bigbrother_07.mp3|接下来我在侦查室帮你们守卫，泰菲、罗宾汉和航海士将陪你完成本次奶酪行动。
guide_bigbrother_08.mp3|不好，泰菲被汤姆抓住了，jerry,你快去救他。
guide_bigbrother_09.mp3|别着急，听我指令，你先慢慢靠近火箭，赶在火箭倒计时结束前救下泰菲。
guide_bigbrother_10.mp3|别紧张，你先捡起一个高尔夫球，再拿高尔夫球狠狠地砸晕它。
guide_bigbrother_11.mp3|罗宾汉已推完最后一块奶酪，大家赶紧撤离吧。
guide_bigbrother_12.mp3|恕我思虑不周，幸好天无绝鼠之路，前方恰好有一条墙缝，大家快攻击墙缝，打开一个新墙洞逃跑吧。
guide_bigbrother_14.mp3|时间不多，我们赶紧去侦查奶酪吧。
guide_bigbrother_15.mp3|你们真棒，罗宾汉也已经运完了一块奶酪。
guide_bigbrother_16.mp3|恭喜你杰瑞，你发现了经验蛋糕，经验蛋糕能为你增加经验值，赶快将它捡起来吧。
guide_bigbrother_17.mp3|大家加把劲，我们马上就能获得奶酪行动的大胜利了。
guide_bigbrother_18.mp3|汤姆被暂时打晕了，杰瑞,你先去救泰菲，让罗宾汉、航海士帮你遛猫。
guide_bigbrother_19.mp3|汤姆又来了，杰瑞，你和泰菲先去打洞，让罗宾、汉航海士帮你牵制汤姆。
guide_bigbrother_20.mp3|杰瑞已经打开了墙洞，大家赶紧撤离吧。
